 ID,Date,Parameter,Value/Valeur,Qualifier/Qualificatif,Symbol/Symbole,Approval/Approbation,Grade/Classification,Qualifiers/Qualificatifs
08MF073,2025-04-07 13:20:00+00:00,H.obs,6.618,,,Provisional/Provisoire,,
08MF073,2025-04-07 13:25:00+00:00,H.obs,6.621,,,Provisional/Provisoire,,
08MF073,2025-04-07 13:30:00+00:00,H.obs,6.62,,,Provisional/Provisoire,,
08MF073,2025-04-07 13:35:00+00:00,H.obs,6.616,,,Provisional/Provisoire,,
08MF073,2025-04-07 13:40:00+00:00,H.obs,6.629,,,Provisional/Provisoire,,
08MF073,2025-04-07 13:45:00+00:00,H.obs,6.631,,,Provisional/Provisoire,,
08MF073,2025-04-07 13:50:00+00:00,H.obs,6.626,,,Provisional/Provisoire,,
08MF073,2025-04-07 13:55:00+00:00,H.obs,6.626,,,Provisional/Provisoire,,
08MF073,2025-04-07 14:00:00+00:00,H.obs,6.627,,,Provisional/Provisoire,,
08MF073,2025-04-07 14:05:00+00:00,H.obs,6.63,,,Provisional/Provisoire,,
08MF073,2025-04-07 14:10:00+00:00,H.obs,6.631,,,Provisional/Provisoire,,
08MF073,2025-04-07 14:15:00+00:00,H.obs,6.634,,,Provisional/Provisoire,,
08MF073,2025-04-07 14:20:00+00:00,H.obs,6.634,,,Provisional/Provisoire,,
08MF073,2025-04-07 14:25:00+00:00,H.obs,6.633,,,Provisional/Provisoire,,
08MF073,2025-04-07 14:30:00+00:00,H.obs,6.636,,,Provisional/Provisoire,,
08MF073,2025-04-07 14:35:00+00:00,H.obs,6.637,,,Provisional/Provisoire,,
08MF073,2025-04-07 14:40:00+00:00,H.obs,6.629,,,Provisional/Provisoire,,
08MF073,2025-04-07 14:45:00+00:00,H.obs,6.639,,,Provisional/Provisoire,,
08MF073,2025-04-07 14:50:00+00:00,H.obs,6.635,,,Provisional/Provisoire,,
08MF073,2025-04-07 14:55:00+00:00,H.obs,6.638,,,Provisional/Provisoire,,
08MF073,2025-04-07 15:00:00+00:00,H.obs,6.638,,,Provisional/Provisoire,,
08MF073,2025-04-07 15:05:00+00:00,H.obs,6.635,,,Provisional/Provisoire,,
08MF073,2025-04-07 15:10:00+00:00,H.obs,6.649,,,Provisional/Provisoire,,
08MF073,2025-04-07 15:15:00+00:00,H.obs,6.642,,,Provisional/Provisoire,,
08MF073,2025-04-07 15:20:00+00:00,H.obs,6.643,,,Provisional/Provisoire,,
08MF073,2025-04-07 15:25:00+00:00,H.obs,6.646,,,Provisional/Provisoire,,
08MF073,2025-04-07 15:30:00+00:00,H.obs,6.638,,,Provisional/Provisoire,,
08MF073,2025-04-07 15:35:00+00:00,H.obs,6.655,,,Provisional/Provisoire,,
08MF073,2025-04-07 15:40:00+00:00,H.obs,6.638,,,Provisional/Provisoire,,
08MF073,2025-04-07 15:45:00+00:00,H.obs,6.653,,,Provisional/Provisoire,,
08MF073,2025-04-07 15:50:00+00:00,H.obs,6.651,,,Provisional/Provisoire,,
08MF073,2025-04-07 15:55:00+00:00,H.obs,6.649,,,Provisional/Provisoire,,
08MF073,2025-04-07 16:00:00+00:00,H.obs,6.65,,,Provisional/Provisoire,,
08MF073,2025-04-07 16:05:00+00:00,H.obs,6.647,,,Provisional/Provisoire,,
08MF073,2025-04-07 16:10:00+00:00,H.obs,6.645,,,Provisional/Provisoire,,
08MF073,2025-04-07 16:15:00+00:00,H.obs,6.644,,,Provisional/Provisoire,,
08MF073,2025-04-07 16:20:00+00:00,H.obs,6.653,,,Provisional/Provisoire,,
08MF073,2025-04-07 16:25:00+00:00,H.obs,6.659,,,Provisional/Provisoire,,
08MF073,2025-04-07 16:30:00+00:00,H.obs,6.665,,,Provisional/Provisoire,,
08MF073,2025-04-07 16:35:00+00:00,H.obs,6.659,,,Provisional/Provisoire,,
08MF073,2025-04-07 16:40:00+00:00,H.obs,6.658,,,Provisional/Provisoire,,
08MF073,2025-04-07 16:45:00+00:00,H.obs,6.659,,,Provisional/Provisoire,,
08MF073,2025-04-07 16:50:00+00:00,H.obs,6.665,,,Provisional/Provisoire,,
08MF073,2025-04-07 16:55:00+00:00,H.obs,6.662,,,Provisional/Provisoire,,
08MF073,2025-04-07 17:00:00+00:00,H.obs,6.659,,,Provisional/Provisoire,,
08MF073,2025-04-07 17:05:00+00:00,H.obs,6.661,,,Provisional/Provisoire,,
08MF073,2025-04-07 17:10:00+00:00,H.obs,6.664,,,Provisional/Provisoire,,
08MF073,2025-04-07 17:15:00+00:00,H.obs,6.671,,,Provisional/Provisoire,,
08MF073,2025-04-07 17:20:00+00:00,H.obs,6.656,,,Provisional/Provisoire,,
08MF073,2025-04-07 17:25:00+00:00,H.obs,6.664,,,Provisional/Provisoire,,
08MF073,2025-04-07 17:30:00+00:00,H.obs,6.665,,,Provisional/Provisoire,,
08MF073,2025-04-07 17:35:00+00:00,H.obs,6.666,,,Provisional/Provisoire,,
08MF073,2025-04-07 17:40:00+00:00,H.obs,6.669,,,Provisional/Provisoire,,
08MF073,2025-04-07 17:45:00+00:00,H.obs,6.665,,,Provisional/Provisoire,,
08MF073,2025-04-07 17:50:00+00:00,H.obs,6.669,,,Provisional/Provisoire,,
08MF073,2025-04-07 17:55:00+00:00,H.obs,6.668,,,Provisional/Provisoire,,
08MF073,2025-04-07 18:00:00+00:00,H.obs,6.672,,,Provisional/Provisoire,,
08MF073,2025-04-07 18:05:00+00:00,H.obs,6.672,,,Provisional/Provisoire,,
08MF073,2025-04-07 18:10:00+00:00,H.obs,6.675,,,Provisional/Provisoire,,
08MF073,2025-04-07 18:15:00+00:00,H.obs,6.683,,,Provisional/Provisoire,,
08MF073,2025-04-07 18:20:00+00:00,H.obs,6.678,,,Provisional/Provisoire,,
08MF073,2025-04-07 18:25:00+00:00,H.obs,6.679,,,Provisional/Provisoire,,
08MF073,2025-04-07 18:30:00+00:00,H.obs,6.684,,,Provisional/Provisoire,,
08MF073,2025-04-07 18:35:00+00:00,H.obs,6.677,,,Provisional/Provisoire,,
08MF073,2025-04-07 18:40:00+00:00,H.obs,6.675,,,Provisional/Provisoire,,
08MF073,2025-04-07 18:45:00+00:00,H.obs,6.675,,,Provisional/Provisoire,,
08MF073,2025-04-07 18:50:00+00:00,H.obs,6.677,,,Provisional/Provisoire,,
08MF073,2025-04-07 18:55:00+00:00,H.obs,6.683,,,Provisional/Provisoire,,
08MF073,2025-04-07 19:00:00+00:00,H.obs,6.687,,,Provisional/Provisoire,,
08MF073,2025-04-07 19:05:00+00:00,H.obs,6.683,,,Provisional/Provisoire,,
08MF073,2025-04-07 19:10:00+00:00,H.obs,6.686,,,Provisional/Provisoire,,
08MF073,2025-04-07 19:15:00+00:00,H.obs,6.686,,,Provisional/Provisoire,,
08MF073,2025-04-07 19:20:00+00:00,H.obs,6.691,,,Provisional/Provisoire,,
08MF073,2025-04-07 19:25:00+00:00,H.obs,6.689,,,Provisional/Provisoire,,
08MF073,2025-04-07 19:30:00+00:00,H.obs,6.687,,,Provisional/Provisoire,,
08MF073,2025-04-07 19:35:00+00:00,H.obs,6.686,,,Provisional/Provisoire,,
08MF073,2025-04-07 19:40:00+00:00,H.obs,6.69,,,Provisional/Provisoire,,
08MF073,2025-04-07 19:45:00+00:00,H.obs,6.688,,,Provisional/Provisoire,,
08MF073,2025-04-07 19:50:00+00:00,H.obs,6.693,,,Provisional/Provisoire,,
08MF073,2025-04-07 19:55:00+00:00,H.obs,6.697,,,Provisional/Provisoire,,
08MF073,2025-04-07 20:00:00+00:00,H.obs,6.689,,,Provisional/Provisoire,,
08MF073,2025-04-07 20:05:00+00:00,H.obs,6.689,,,Provisional/Provisoire,,
08MF073,2025-04-07 20:10:00+00:00,H.obs,6.698,,,Provisional/Provisoire,,
08MF073,2025-04-07 20:15:00+00:00,H.obs,6.694,,,Provisional/Provisoire,,
08MF073,2025-04-07 20:20:00+00:00,H.obs,6.699,,,Provisional/Provisoire,,
08MF073,2025-04-07 20:25:00+00:00,H.obs,6.697,,,Provisional/Provisoire,,
08MF073,2025-04-07 20:30:00+00:00,H.obs,6.692,,,Provisional/Provisoire,,
08MF073,2025-04-07 20:35:00+00:00,H.obs,6.7,,,Provisional/Provisoire,,
08MF073,2025-04-07 20:40:00+00:00,H.obs,6.7,,,Provisional/Provisoire,,
08MF073,2025-04-07 20:45:00+00:00,H.obs,6.705,,,Provisional/Provisoire,,
08MF073,2025-04-07 20:50:00+00:00,H.obs,6.698,,,Provisional/Provisoire,,
08MF073,2025-04-07 20:55:00+00:00,H.obs,6.702,,,Provisional/Provisoire,,
08MF073,2025-04-07 21:00:00+00:00,H.obs,6.702,,,Provisional/Provisoire,,
08MF073,2025-04-07 21:05:00+00:00,H.obs,6.707,,,Provisional/Provisoire,,
08MF073,2025-04-07 21:10:00+00:00,H.obs,6.7,,,Provisional/Provisoire,,
08MF073,2025-04-07 21:15:00+00:00,H.obs,6.702,,,Provisional/Provisoire,,
08MF073,2025-04-07 21:20:00+00:00,H.obs,6.715,,,Provisional/Provisoire,,
08MF073,2025-04-07 21:25:00+00:00,H.obs,6.706,,,Provisional/Provisoire,,
08MF073,2025-04-07 21:30:00+00:00,H.obs,6.701,,,Provisional/Provisoire,,
08MF073,2025-04-07 21:35:00+00:00,H.obs,6.703,,,Provisional/Provisoire,,
08MF073,2025-04-07 21:40:00+00:00,H.obs,6.707,,,Provisional/Provisoire,,
08MF073,2025-04-07 21:45:00+00:00,H.obs,6.709,,,Provisional/Provisoire,,
08MF073,2025-04-07 21:50:00+00:00,H.obs,6.704,,,Provisional/Provisoire,,
08MF073,2025-04-07 21:55:00+00:00,H.obs,6.713,,,Provisional/Provisoire,,
08MF073,2025-04-07 22:00:00+00:00,H.obs,6.712,,,Provisional/Provisoire,,
08MF073,2025-04-07 22:05:00+00:00,H.obs,6.711,,,Provisional/Provisoire,,
08MF073,2025-04-07 22:10:00+00:00,H.obs,6.711,,,Provisional/Provisoire,,
08MF073,2025-04-07 22:15:00+00:00,H.obs,6.716,,,Provisional/Provisoire,,
08MF073,2025-04-07 22:20:00+00:00,H.obs,6.714,,,Provisional/Provisoire,,
08MF073,2025-04-07 22:25:00+00:00,H.obs,6.715,,,Provisional/Provisoire,,
08MF073,2025-04-07 22:30:00+00:00,H.obs,6.718,,,Provisional/Provisoire,,
08MF073,2025-04-07 22:35:00+00:00,H.obs,6.724,,,Provisional/Provisoire,,
08MF073,2025-04-07 22:40:00+00:00,H.obs,6.717,,,Provisional/Provisoire,,
08MF073,2025-04-07 22:45:00+00:00,H.obs,6.722,,,Provisional/Provisoire,,
08MF073,2025-04-07 22:50:00+00:00,H.obs,6.72,,,Provisional/Provisoire,,
08MF073,2025-04-07 22:55:00+00:00,H.obs,6.723,,,Provisional/Provisoire,,
08MF073,2025-04-07 23:00:00+00:00,H.obs,6.723,,,Provisional/Provisoire,,
08MF073,2025-04-07 23:05:00+00:00,H.obs,6.727,,,Provisional/Provisoire,,
08MF073,2025-04-07 23:10:00+00:00,H.obs,6.73,,,Provisional/Provisoire,,
08MF073,2025-04-07 23:15:00+00:00,H.obs,6.719,,,Provisional/Provisoire,,
08MF073,2025-04-07 23:20:00+00:00,H.obs,6.72,,,Provisional/Provisoire,,
08MF073,2025-04-07 23:25:00+00:00,H.obs,6.732,,,Provisional/Provisoire,,
08MF073,2025-04-07 23:30:00+00:00,H.obs,6.729,,,Provisional/Provisoire,,
08MF073,2025-04-07 23:35:00+00:00,H.obs,6.72,,,Provisional/Provisoire,,
08MF073,2025-04-07 23:40:00+00:00,H.obs,6.732,,,Provisional/Provisoire,,
08MF073,2025-04-07 23:45:00+00:00,H.obs,6.734,,,Provisional/Provisoire,,
08MF073,2025-04-07 23:50:00+00:00,H.obs,6.731,,,Provisional/Provisoire,,
08MF073,2025-04-07 23:55:00+00:00,H.obs,6.728,,,Provisional/Provisoire,,
08MF073,2025-04-08 00:00:00+00:00,H.obs,6.737,,,Provisional/Provisoire,,
08MF073,2025-04-08 00:05:00+00:00,H.obs,6.728,,,Provisional/Provisoire,,
08MF073,2025-04-08 00:10:00+00:00,H.obs,6.736,,,Provisional/Provisoire,,
08MF073,2025-04-08 00:15:00+00:00,H.obs,6.73,,,Provisional/Provisoire,,
08MF073,2025-04-08 00:20:00+00:00,H.obs,6.742,,,Provisional/Provisoire,,
08MF073,2025-04-08 00:25:00+00:00,H.obs,6.734,,,Provisional/Provisoire,,
08MF073,2025-04-08 00:30:00+00:00,H.obs,6.738,,,Provisional/Provisoire,,
08MF073,2025-04-08 00:35:00+00:00,H.obs,6.735,,,Provisional/Provisoire,,
08MF073,2025-04-08 00:40:00+00:00,H.obs,6.731,,,Provisional/Provisoire,,
08MF073,2025-04-08 00:45:00+00:00,H.obs,6.738,,,Provisional/Provisoire,,
08MF073,2025-04-08 00:50:00+00:00,H.obs,6.729,,,Provisional/Provisoire,,
08MF073,2025-04-08 00:55:00+00:00,H.obs,6.733,,,Provisional/Provisoire,,
08MF073,2025-04-08 01:00:00+00:00,H.obs,6.738,,,Provisional/Provisoire,,
08MF073,2025-04-08 01:05:00+00:00,H.obs,6.738,,,Provisional/Provisoire,,
08MF073,2025-04-08 01:10:00+00:00,H.obs,6.739,,,Provisional/Provisoire,,
08MF073,2025-04-08 01:15:00+00:00,H.obs,6.731,,,Provisional/Provisoire,,
08MF073,2025-04-08 01:20:00+00:00,H.obs,6.741,,,Provisional/Provisoire,,
08MF073,2025-04-08 01:25:00+00:00,H.obs,6.732,,,Provisional/Provisoire,,
08MF073,2025-04-08 01:30:00+00:00,H.obs,6.742,,,Provisional/Provisoire,,
08MF073,2025-04-08 01:35:00+00:00,H.obs,6.742,,,Provisional/Provisoire,,
08MF073,2025-04-08 01:40:00+00:00,H.obs,6.735,,,Provisional/Provisoire,,
08MF073,2025-04-08 01:45:00+00:00,H.obs,6.741,,,Provisional/Provisoire,,
08MF073,2025-04-08 01:50:00+00:00,H.obs,6.743,,,Provisional/Provisoire,,
08MF073,2025-04-08 01:55:00+00:00,H.obs,6.743,,,Provisional/Provisoire,,
08MF073,2025-04-08 02:00:00+00:00,H.obs,6.747,,,Provisional/Provisoire,,
08MF073,2025-04-08 02:05:00+00:00,H.obs,6.741,,,Provisional/Provisoire,,
08MF073,2025-04-08 02:10:00+00:00,H.obs,6.748,,,Provisional/Provisoire,,
08MF073,2025-04-08 02:15:00+00:00,H.obs,6.744,,,Provisional/Provisoire,,
08MF073,2025-04-08 02:20:00+00:00,H.obs,6.747,,,Provisional/Provisoire,,
08MF073,2025-04-08 02:25:00+00:00,H.obs,6.746,,,Provisional/Provisoire,,
08MF073,2025-04-08 02:30:00+00:00,H.obs,6.751,,,Provisional/Provisoire,,
08MF073,2025-04-08 02:35:00+00:00,H.obs,6.751,,,Provisional/Provisoire,,
08MF073,2025-04-08 02:40:00+00:00,H.obs,6.745,,,Provisional/Provisoire,,
08MF073,2025-04-08 02:45:00+00:00,H.obs,6.741,,,Provisional/Provisoire,,
08MF073,2025-04-08 02:50:00+00:00,H.obs,6.754,,,Provisional/Provisoire,,
08MF073,2025-04-08 02:55:00+00:00,H.obs,6.754,,,Provisional/Provisoire,,
08MF073,2025-04-08 03:00:00+00:00,H.obs,6.736,,,Provisional/Provisoire,,
08MF073,2025-04-08 03:05:00+00:00,H.obs,6.756,,,Provisional/Provisoire,,
08MF073,2025-04-08 03:10:00+00:00,H.obs,6.754,,,Provisional/Provisoire,,
08MF073,2025-04-08 03:15:00+00:00,H.obs,6.752,,,Provisional/Provisoire,,
08MF073,2025-04-08 03:20:00+00:00,H.obs,6.757,,,Provisional/Provisoire,,
08MF073,2025-04-08 03:25:00+00:00,H.obs,6.757,,,Provisional/Provisoire,,
08MF073,2025-04-08 03:30:00+00:00,H.obs,6.752,,,Provisional/Provisoire,,
08MF073,2025-04-08 03:35:00+00:00,H.obs,6.754,,,Provisional/Provisoire,,
08MF073,2025-04-08 03:40:00+00:00,H.obs,6.753,,,Provisional/Provisoire,,
08MF073,2025-04-08 03:45:00+00:00,H.obs,6.755,,,Provisional/Provisoire,,
08MF073,2025-04-08 03:50:00+00:00,H.obs,6.753,,,Provisional/Provisoire,,
08MF073,2025-04-08 03:55:00+00:00,H.obs,6.762,,,Provisional/Provisoire,,
08MF073,2025-04-08 04:00:00+00:00,H.obs,6.758,,,Provisional/Provisoire,,
08MF073,2025-04-08 04:05:00+00:00,H.obs,6.76,,,Provisional/Provisoire,,
08MF073,2025-04-08 04:10:00+00:00,H.obs,6.76,,,Provisional/Provisoire,,
08MF073,2025-04-08 04:15:00+00:00,H.obs,6.761,,,Provisional/Provisoire,,
08MF073,2025-04-08 04:20:00+00:00,H.obs,6.758,,,Provisional/Provisoire,,
08MF073,2025-04-08 04:25:00+00:00,H.obs,6.754,,,Provisional/Provisoire,,
08MF073,2025-04-08 04:30:00+00:00,H.obs,6.764,,,Provisional/Provisoire,,
08MF073,2025-04-08 04:35:00+00:00,H.obs,6.756,,,Provisional/Provisoire,,
08MF073,2025-04-08 04:40:00+00:00,H.obs,6.761,,,Provisional/Provisoire,,
08MF073,2025-04-08 04:45:00+00:00,H.obs,6.764,,,Provisional/Provisoire,,
08MF073,2025-04-08 04:50:00+00:00,H.obs,6.766,,,Provisional/Provisoire,,
08MF073,2025-04-08 04:55:00+00:00,H.obs,6.771,,,Provisional/Provisoire,,
08MF073,2025-04-08 05:00:00+00:00,H.obs,6.766,,,Provisional/Provisoire,,
08MF073,2025-04-08 05:05:00+00:00,H.obs,6.766,,,Provisional/Provisoire,,
08MF073,2025-04-08 05:10:00+00:00,H.obs,6.772,,,Provisional/Provisoire,,
08MF073,2025-04-08 05:15:00+00:00,H.obs,6.764,,,Provisional/Provisoire,,
08MF073,2025-04-08 05:20:00+00:00,H.obs,6.776,,,Provisional/Provisoire,,
08MF073,2025-04-08 05:25:00+00:00,H.obs,6.774,,,Provisional/Provisoire,,
08MF073,2025-04-08 05:30:00+00:00,H.obs,6.772,,,Provisional/Provisoire,,
08MF073,2025-04-08 05:35:00+00:00,H.obs,6.776,,,Provisional/Provisoire,,
08MF073,2025-04-08 05:40:00+00:00,H.obs,6.776,,,Provisional/Provisoire,,
08MF073,2025-04-08 05:45:00+00:00,H.obs,6.778,,,Provisional/Provisoire,,
08MF073,2025-04-08 05:50:00+00:00,H.obs,6.768,,,Provisional/Provisoire,,
08MF073,2025-04-08 05:55:00+00:00,H.obs,6.777,,,Provisional/Provisoire,,
08MF073,2025-04-08 06:00:00+00:00,H.obs,6.774,,,Provisional/Provisoire,,
08MF073,2025-04-08 06:05:00+00:00,H.obs,6.78,,,Provisional/Provisoire,,
08MF073,2025-04-08 06:10:00+00:00,H.obs,6.779,,,Provisional/Provisoire,,
08MF073,2025-04-08 06:15:00+00:00,H.obs,6.776,,,Provisional/Provisoire,,
08MF073,2025-04-08 06:20:00+00:00,H.obs,6.778,,,Provisional/Provisoire,,
08MF073,2025-04-08 06:25:00+00:00,H.obs,6.779,,,Provisional/Provisoire,,
